Title,Point,Participant
023. Ep.06 심판의 시간 (2),9.98,42744
066. Ep.15 왕이 없는 세계 (2),9.98,41730
021. Ep.05 어둠 파수꾼 (3),9.98,41508
028. Ep.07 건물주 (2),9.98,40847
031. Ep.07 건물주 (5),9.98,38799
036. Ep.08 긴급 방어전 (4),9.98,38406
034. Ep.08 긴급 방어전 (2),9.98,38353
022. Ep.06 심판의 시간 (1),9.98,38085
035. Ep.08 긴급 방어전 (3),9.98,38058
030. Ep.07 건물주 (4),9.98,37676
043. Ep.09 전지적 개복치 (7),9.98,37477
037. Ep.09 전지적 개복치 (1),9.98,37081
029. Ep.07 건물주 (3),9.98,36468
039. Ep.09 전지적 개복치 (3),9.98,36071
053. Ep.12 1인칭 주인공 시점 (1),9.98,35669
055. Ep.12 1인칭 주인공 시점 (3),9.98,34956
065. Ep.15 왕이 없는 세계 (1),9.98,34346
048. Ep.10 미래 전쟁 (5),9.98,34011
049. Ep.11 선지자들의 밤 (1),9.98,33905
064. Ep.14 왕좌의 주인 (4),9.98,33861
050. Ep.11 선지자들의 밤 (2),9.98,33834
047. Ep.10 미래 전쟁 (4),9.98,33684
052. Ep.11 선지자들의 밤 (4),9.98,33648
086. Ep. 18 독자의 싸움 (4),9.98,33276
056. Ep.12 1인칭 주인공 시점 (4),9.98,32964
058. Ep.13 왕들의 전쟁 (2),9.98,31716
057. Ep.13 왕들의 전쟁 (1),9.98,31309
108. Ep. 22 세 가지 약속 (1),9.98,29436
013. Ep.03 계약 (1),9.97,43248
019. Ep.05 어둠 파수꾼 (1),9.97,42985
024. Ep.06 심판의 시간 (3),9.97,41641
015. Ep.03 계약 (3),9.97,41169
014. Ep.03 계약 (2),9.97,40158
018. Ep.04 위선도 선이다 (3),9.97,39052
025. Ep.06 심판의 시간 (4),9.97,38864
042. Ep.09 전지적 개복치 (6),9.97,38439
020. Ep.05 어둠 파수꾼 (2),9.97,38399
026. Ep.06 심판의 시간 (5),9.97,38309
032. Ep.07 건물주 (6),9.97,37787
033. Ep.08 긴급 방어전 (1),9.97,36985
027. Ep.07 건물주 (1),9.97,36797
038. Ep.09 전지적 개복치 (2),9.97,35958
041. Ep.09 전지적 개복치 (5),9.97,35934
054. Ep.12 1인칭 주인공 시점 (2),9.97,35500
051. Ep.11 선지자들의 밤 (3),9.97,34737
044. Ep.10 미래 전쟁 (1),9.97,34239
063. Ep.14 왕좌의 주인 (3),9.97,34097
059. Ep.13 왕들의 전쟁 (3),9.97,32663
069. Ep.15 왕이 없는 세계 (5),9.97,32651
084. Ep. 18 독자의 싸움 (2),9.97,32303
062. Ep.14 왕좌의 주인 (2),9.97,31883
061. Ep.14 왕좌의 주인 (1),9.97,31835
067. Ep.15 왕이 없는 세계 (3),9.97,31619
077. Ep. 17 SSS급 재능 (1),9.97,31134
073. Ep.16 다섯 번째 시나리오 (1),9.97,30881
074. Ep.16 다섯 번째 시나리오 (2),9.97,30869
076. Ep.16 다섯 번째 시나리오 (4),9.97,30831
075. Ep.16 다섯 번째 시나리오 (3),9.97,30780
083. Ep. 18 독자의 싸움 (1),9.97,30572
087. Ep. 19 특이점 (1),9.97,29867
088. Ep. 19 특이점 (2),9.97,29746
096. Ep. 20 범람의 재앙 (4),9.97,28943
094. Ep. 20 범람의 재앙 (2),9.97,28794
095. Ep. 20 범람의 재앙 (3),9.97,28733
111. Ep. 22 세 가지 약속 (4),9.97,27313
115. Ep. 22 세 가지 약속 (8),9.97,25907
040. Ep.09 전지적 개복치 (4),9.96,44674
006. Ep.01 유료 서비스 시작 (5),9.96,42357
007. Ep.02 주인공 (1),9.96,41696
008. Ep.02 주인공 (2),9.96,40534
012. Ep.02 주인공 (6),9.96,40311
016. Ep.04 위선도 선이다 (1),9.96,40002
010. Ep.02 주인공 (4),9.96,39910
009. Ep.02 주인공 (3),9.96,39779
011. Ep.02 주인공 (5),9.96,39706
017. Ep.04 위선도 선이다 (2),9.96,38199
045. Ep.10 미래 전쟁 (2),9.96,34883
071. Ep.15 왕이 없는 세계 (7),9.96,34350
046. Ep.10 미래 전쟁 (3),9.96,34183
060. Ep.13 왕들의 전쟁 (4),9.96,33579
068. Ep.15 왕이 없는 세계 (4),9.96,33382
072. Ep.15 왕이 없는 세계 (8),9.96,32904
100. Ep. 21 바꿀 수 없는 것 (2),9.96,32100
101. Ep. 21 바꿀 수 없는 것 (3),9.96,30582
079. Ep. 17 SSS급 재능 (3),9.96,29986
107. Ep. 21 바꿀 수 없는 것 (9),9.96,29842
091. Ep. 19 특이점 (5),9.96,29748
085. Ep. 18 독자의 싸움 (3),9.96,29663
098. Ep. 20 범람의 재앙 (6),9.96,29127
104. Ep. 21 바꿀 수 없는 것 (6),9.96,28252
099. Ep. 21 바꿀 수 없는 것 (1),9.96,27925
092. Ep. 19 특이점 (6),9.96,27547
110. Ep. 22 세 가지 약속 (3),9.96,27214
109. Ep. 22 세 가지 약속 (2),9.96,26994
097. Ep. 20 범람의 재앙 (5),9.96,26950
116. Ep. 22 세 가지 약속 (9),9.96,25416
005. Ep.01 유료 서비스 시작 (4),9.95,41578
078. Ep. 17 SSS급 재능 (2),9.95,29944
080. Ep. 17 SSS급 재능 (4),9.95,29692
089. Ep. 19 특이점 (3),9.95,28700
093. Ep. 20 범람의 재앙 (1),9.95,28307
118. Ep. 23 버려진 세계 (2),9.95,22716
002. Ep.01 유료 서비스 시작 (1),9.94,46694
003. Ep.01 유료 서비스 시작 (2),9.94,43157
004. Ep.01 유료 서비스 시작 (3),9.94,42238
090. Ep. 19 특이점 (4),9.94,29453
102. Ep. 21 바꿀 수 없는 것 (4),9.94,29122
081. Ep. 17 SSS급 재능 (5),9.94,28956
103. Ep. 21 바꿀 수 없는 것 (5),9.94,28955
114. Ep. 22 세 가지 약속 (7),9.94,27283
112. Ep. 22 세 가지 약속 (5),9.94,27104
001. Prologue 멸망한 세계에서 살아남는 세 가지 방법,9.92,59790
070. Ep.15 왕이 없는 세계 (6),9.92,36099
082. Ep. 17 SSS급 재능 (6),9.92,30723
122. Ep. 23 버려진 세계 (6),9.92,21503
105. Ep. 21 바꿀 수 없는 것 (7),9.91,45477
121. Ep. 23 버려진 세계 (5),9.9,23256
000. 프롤로그,9.89,63978
106. Ep. 21 바꿀 수 없는 것 (8),9.89,34562
113. Ep. 22 세 가지 약속 (6),9.88,28970
117. Ep. 23 버려진 세계 (1),9.81,26573
120. Ep. 23 버려진 세계 (4),9.55,25765
119. Ep. 23 버려진 세계 (3),9.36,28170
