Episode,Num_pages,Num_reviews
1,818,12270
2,695,10425
3,338,5070
4,269,4035
5,187,2805
6,168,2520
7,290,4350
8,179,2685
9,300,4500
10,146,2190
11,187,2805
12,255,3825
13,280,4200
14,305,4575
15,161,2415
16,193,2895
17,201,3015
18,238,3570
19,206,3090
20,207,3105
21,208,3120
22,262,3930
23,193,2895
24,293,4395
25,305,4575
26,157,2355
27,231,3465
28,193,2895
29,228,3420
30,148,2220
31,126,1890
32,204,3060
33,199,2985
34,156,2340
35,191,2865
36,122,1830
37,140,2100
38,230,3450
39,228,3420
40,162,2430
41,365,5475
42,145,2175
43,247,3705
44,211,3165
45,157,2355
46,220,3300
47,172,2580
48,165,2475
49,141,2115
50,145,2175
51,155,2325
52,138,2070
53,181,2715
54,209,3135
55,164,2460
56,146,2190
57,103,1545
58,79,1185
59,115,1725
60,107,1605
61,130,1950
62,96,1440
63,137,2055
64,231,3465
65,157,2355
66,140,2100
67,268,4020
68,93,1395
69,172,2580
70,112,1680
71,91,1365
72,90,1350
73,108,1620
74,157,2355
75,93,1395
76,112,1680
77,107,1605
78,89,1335
79,111,1665
80,62,930
81,64,960
82,80,1200
83,57,855
84,89,1335
85,83,1245
86,139,2085
87,177,2655
88,126,1890
89,72,1080
90,81,1215
91,117,1755
92,94,1410
93,113,1695
94,50,750
95,82,1230
96,117,1755
97,138,2070
98,65,975
99,106,1590
100,103,1545
101,115,1725
102,125,1875
103,86,1290
104,73,1095
105,86,1290
106,96,1440
107,110,1650
108,102,1530
109,149,2235
110,56,840
111,81,1215
112,87,1305
113,90,1350
114,62,930
115,116,1740
116,70,1050
117,103,1545
118,71,1065
119,54,810
120,123,1845
121,124,1860
122,94,1410
123,71,1065
124,44,660
