,Episode,Date,Review
0,21,1일 전,아주 미묘하게 뭐가 움직임
1,21,6일 전,촉수물  
2,21,2022-10-07 14:32,원래 책이 웹툰이었냐 
3,21,2022-10-06 02:47,연출 멋있는거   인데   뭔가   주인공을 위해서만 다 맞춰있는 기분에다가    책을 많이 읽으면 전투력이 상승한다는 발상은 어디서 나온거지   무료해져가   
4,21,2022-10-02 22:53,멸살법이 왜 인기가 없었지     
5,21,2022-09-15 18:38,비에고
6,21,2022-09-14 22:00,너 책읽은게 아니라 웹소설본거잖아    
7,21,2022-09-14 08:48,     아오   캐
8,21,2022-09-11 21:15,책을 많이 읽으면 된다 주섬주섬 어디보자 짱박혀 있는 내 책들이 어딨더라  
9,21,2022-09-06 04:16,와 진짜   재밌다 내가 왜 이걸 이제봤지
10,21,2022-09-02 23:33,독서가 이렇게 중요합니다 여러분
11,21,2022-08-28 21:23,이제 한명오씨 임신하는 겁니까 
12,21,2022-08-28 18:40,    촉수물  
13,21,2022-08-27 10:34,많이가 10년이나 되야하나
14,21,2022-08-25 02:24,      아 예에       
15,21,2022-08-23 04:10,이현성 책갈피로 검쓰는거 좋당  이현성은 땅강아지 척추뼈 휘둘렀는데 
16,21,2022-08-21 17:20,독서하라는 교훈 이번에도 군인아조씨 빙의한건가  
17,21,2022-08-17 11:11,촤라라라라라라 나만웃김    
18,21,2022-08-16 13:08,그림    잘 그린다
19,21,2022-08-10 04:06,임신 촉수물  
20,21,2022-08-07 00:27,   책을 많이 읽자  
21,21,2022-08-05 22:16,김독자 사랑해   
22,21,2022-07-29 12:46,와 저거까지 계산한거야     독자내새꾸  
23,21,2022-07-23 09:57,아니 난 독자가 애기 만     
24,21,2022-07-20 00:20,직장상사가 눈앞에서 촉수를 물고잇다라   
25,21,2022-07-19 22:48,부러진 검 다시 붙히면 돼  
26,21,2022-07-14 08:43,명언이다평소에 책을 많이 읽으면돼    
27,21,2022-07-09 16:41,하 한명오            하아  
28,21,2022-07-08 17:25,혹시 모르니 책 읽으러 가야겠다
29,21,2022-07-04 18:01,아니 근데 조회수 1이면 독자도 한 번 뿐에 안읽은건데    저걸 다기억해    
30,21,2022-07-04 11:12,근데 독자 저샊이 코인    많은거 아녔나
31,21,2022-06-30 14:18,아니 그정도 자세한 거면 독자 읽으라고 써둔 거 아니냐 너가 싸울때를 위해
32,21,2022-06-29 17:25,유다희씨 불러야 할 것 같잖아요      큐   
33,21,2022-06-26 16:26,뭐야 다시 보니깐 블러 처리 없어졌네         
34,21,2022-06-14 17:02,이거 그거 아닌가 교과서 위주로 공부했어요
35,21,2022-06-13 18:31,이름이 독자인게 진짜 신의 한수다   
36,21,2022-06-07 10:37,뭐라는지 모르겠지만 이거 하나는 이해됀다개간지나
37,21,2022-06-06 16:13, 끄적   책을 많이 읽자   
38,21,2022-06-05 14:08,대천사가  협박         
39,21,2022-06-05 00:27,오늘의 교훈 책을 많이 읽어라 
40,21,2022-06-01 16:53,촉수물
41,21,2022-05-31 17:34,    촉수물
42,21,2022-05-29 10:54,그렇게 한명오는 괴물을 낳게 되는데   
43,21,2022-05-26 15:31,아니   그 책을 읽는게 아니라 넌 멸살법을 읽은거잖아
44,21,2022-05-25 22:37,오늘의 교훈책을 많이 읽어라
45,21,2022-05-23 23:52,책을    많이   읽는다   끄적끄적 
46,21,2022-05-22 18:36,세상에 책갈피 쓰는 씬을 이렇게 표현하셨구나  내상상보다도 멋짐    
47,21,2022-05-22 11:55,촉수물이라면   
48,21,2022-05-19 10:27,평소에 책을 많이 읽으면 돼 간지
49,21,2022-05-18 21:03,당장 읽을게요
50,21,2022-05-14 21:14,저거 촉수 보이게 수정하셧나  
51,21,2022-05-12 02:27,책 읽으러갑니다 
52,21,2022-05-07 07:28,너 휴대폰으로 봤잖아 
53,21,2022-05-05 20:02,책 펴질때 촤라라라라 뜬금 개웃기네
54,21,2022-05-02 20:40,부러진 신념      소설 보고오니깐 진짜 떡밥 회수    
55,21,2022-04-28 20:30,  독자 악마종퇴치 존나 멋있음 한명오 촉수플
56,21,2022-04-22 08:03,깨비들졸귀다
57,21,2022-04-20 23:32, 
58,21,2022-04-20 15:58,가슴이웅장  
59,21,2022-04-20 10:42,한명오 그냥 빨리 없어졌음 좋겠다 
60,21,2022-04-18 19:48,근데 악마종 잘린 촉수   저거 사람으로 치면 고  고   생식기 아냐   
61,21,2022-04-17 14:02,한명오 장면에서 진짜 흠칫햇다        
62,21,2022-04-16 10:13,책 을 많이 봐야하는 이유
63,21,2022-04-03 00:55,와    부러진 신념 딱 등장하는데 전율이  멋있다 김독자
64,21,2022-04-01 19:44,       아 2세 계획    
65,21,2022-03-26 09:49,    
66,21,2022-03-24 16:57,저건 소설이아니라 설명서 수준인데    
67,21,2022-03-23 04:49,아   책 많이 읽어야겠다  
68,21,2022-03-22 23:43,연출 개미쳤다 진짜 소름돋아
69,21,2022-03-22 10:12,한명오 와중에 내가 왜 엄마야  아빠지            
70,21,2022-03-20 18:27,           
71,21,2022-03-19 23:15,근데 한명오 왜 자꾸 살리는건가요  지혼자 살려고 독자 냅두고 도망가서 뒷통수맞은건데 왜 자꾸 살리는거임
72,21,2022-03-18 23:20,내 아를 낳아도
73,21,2022-03-16 15:07,와우 이장면 다시보니 새롭다   엄마가 되어라   
74,21,2022-03-13 23:53,네 오빠   
75,21,2022-03-12 23:21,간지 미쳤다
76,21,2022-03-09 12:08,정주행중인데 한명오 촉수부분 블러 처리된거 사라졌네   
77,21,2022-02-24 12:06,뭐하러 구해줘 걍 끔살하게 냅두지
78,21,2022-02-23 01:59,지가 깨어놓고 왜 한명오 탓을 하지
79,21,2022-02-17 22:58,한명오 갑자기 임신할 뻔 한게 너무웃김                    
80,21,2022-02-16 12:59,아니 분명 유중혁은 백강혁 닮았었는데 또 김독자는 윤가민을 닮았냨  요긴 뭐 닮은꼴이 꽤 많겠는데  
81,21,2022-02-16 10:32,오늘부터 책 읽으려구요
82,21,2022-02-15 18:24,이래서 공부 공부 하는구나  
83,21,2022-02-14 09:58,악마종 에일리언인줄     케
84,21,2022-02-13 12:51,정주행 하면서 보니까 길영이 얼굴에 볼 빨게졌어    
85,21,2022-02-12 11:26,2세 계획 없냐고        저딴걸 왜 물어봐    
86,21,2022-02-11 00:11,진짜 흥분됨 개쩌는 미친 애니 보는 느낌  이건 애니로 꼭 보고 싶다  최소한 원펀맨 시즌1정도의 퀄리티로  질질 쌀 것 같음 
87,21,2022-02-10 16:19,김독자 얼짱각도 존니잘생김
88,21,2022-02-10 00:50,찢었다
89,21,2022-02-09 11:00,너 책말고 폰으로 웹소설 읽었자나      
90,21,2022-02-07 02:17,멸살법은 소설이 아니라 공략집이었다     
91,21,2022-02-06 17:15,킼                                         
92,21,2022-02-06 17:15, 
93,21,2022-02-06 13:44,   평소에 책을 많이 읽으면 돼          요 
94,21,2022-02-05 22:40,한명오        뭐지   
95,21,2022-02-03 23:28,                     우리모두      을 읽읍시다 
96,21,2022-02-03 23:25,햐    악마종이 인간보다 신사적이네결혼도 안했으니 싫다는 말에 열외 시켜줬자너 거부권따위 없던 절름발이     히보다 백배낫자너
97,21,2022-02-03 11:04,촉수   
