Episode,Date,Review
8,"Aug 19, 2020",This feels so meta. A reader watching a reader reading a story that you are reading right now. Daaaaang.🤯
8,"Aug 19, 2020","Dude’s got an interesting sense of morality, you can tell this isn’t normal behavior for him. I wonder if he got more than just the memory of what will happen in the future, like he had his personality tampered with or something."
8,"Aug 19, 2020","The best part about this whole thing is that the chapter is called “The Beginning of Paywall” and if you’re reading this right now, it means the author successfully baited you to pay to read more paywalled chapters 😂
Edit: Obviously this was written on August 19 :P I know you got a free coin somewhere so you should pay for the next chapter 😉 "
8,"Aug 19, 2020","when you see 22 comments and it matches with around the constellations and you realize YOU are the one watching and giving coins to fast pass. WE ARE THE CONSTELLATIONS, HOLY SH*+"
8,"Aug 21, 2020",If we're being honest most MCs are hypocrites but that can be what makes them interesting
8,"Aug 20, 2020",When Dokja least expects it that kid will take revenge for his murdered grasshoppers
8,"Aug 19, 2020",Omniscient Reader Viewpoint is a popular Novel In Korea right now. It has licensed into Webtoon. And soon will have a movie adaptation. Btw. I love the translation so far. Reading webtoon with sound effect. indeed add the thrill.
8,"Aug 26, 2020","""That was just a coincidence, it won't happen again"". Damn son! Way to put your foot down 😂👌"
8,"Aug 19, 2020",How can he be so calm in this situation?! He’s got.... The Reader’s Mind
8,"Sep 2, 2020",WAIT. Am I... a Constellation?? 🤯🤯🤣🤣
8,"Aug 19, 2020",hunger games but make it ✨anime✨
8,"Aug 20, 2020",why is bihyung (the doekkabi) so cute 50% of the time and looks like he's gonna kill everyone the other 50% of the time 
8,"Sep 16, 2020",Sign my petition to keep the little boy alive 
8,"Aug 21, 2020","I had coins that were about to expire, so I spend them on this excellent read, but now I'll have to wait a month"
8,"Aug 19, 2020",As a light novel reader I'm enjoying watching everyone heading down the theory crafting rabbit hole. 😂
8,"Aug 19, 2020",Gilyeong is such a precious character UWU. I’m a novel reader and YALL IN FOR A WILD RIDE. 
8,"Aug 20, 2020",New category on Twitch : Apocalypse.
8,"Aug 21, 2020",God! I wanna see this webtoon become a movie someday. Dang. It's soo gooood
8,"Sep 16, 2020",It’s me. I’m the constellation who’s pissed he killed my favorite character.
8,"Aug 21, 2020",i am liking this. guess i am gonna stick to the end of this comic. this is the genre i like the most
8,"Sep 16, 2020",Hes just critically thinking about things as if he was still a reader not a player. Imteresting.
8,"Sep 16, 2020",Its weird because the sponsors that are watching this whole scenario seem sick to us as the readers but I feel sick too since I am enjoying this story so much and its literally about so many people dying for entertainment and only one person ends up surviving. iunno you guys tell me what you think
8,"Sep 16, 2020","what if we get sucked into the story at the end?? but then again, our world is dying anyways"
8,"Sep 16, 2020",If u were scared about being in the train and things were super crazy and hectic so than why would u think the outside is ok
8,"Aug 20, 2020",dang i spent all of my coins. hoping the constellations would sponsor me lololol
8,"Aug 20, 2020",I love how the perspective is from a place in the story where the story didn’t originally start in his web novel. That’s REALLY clever. Love it ~
8,"Sep 16, 2020",YES! WE LOVE A MC WHO AIN'T SOFT❤
8,"Aug 28, 2020",It feels weird reading the webtoon right after the Webnovel but the way the art portrays everything is very rewarding !! I can’t wait to see the art for the third scenario!!!
8,"Aug 20, 2020",This is like The Hunger Games meets some alien invasion flick.
8,"Aug 19, 2020",Just take all my coins
8,"Sep 16, 2020","""People's lives are important! So it's only right that you save me!""... says the guy who just tried to beat an old women to death."
8,"Sep 16, 2020","I love that the character isn't all white or black, but has some moral ambiguity instead of being a perfect saint. It makes it a lot more interesting to see the choices he makes, because they truly become choices (rather than right vs wrong answers/ behaviours). I wonder if he will be able to properly preserve his humanity and a sense of value of human life (he's the hero so probably, but still). This keeps on getting better... "
8,"Sep 16, 2020",He's gonna grow attached to the kid just wait. 
8,"Sep 16, 2020",I'm still waiting for my appearance.
8,"Sep 16, 2020","Guys as always this webtoon continues to impress me in execution! I have read the light novel so I know what happens but let me tell you that this series is within the best stories to have been ever written and such a legendary of a story being told... Every character, every plot point, every setting, and even abilities becomes so relevant all throughout the series in ways you couldn’t even imagine.... Don’t underestimate it at all and continue to read it because this is going to be huge!!!"
8,"Sep 16, 2020","Does anyone feel like theres something off about the kid? He didn't cry or seemed scared at all, and he just starts clinging to the protagonist, just seems suspicious. Or maybe I have trust ishues idk"
8,"Sep 16, 2020","what i love about dokja is his unpredictability, his actions are so surprising to everyone since he's peak big brain energy"
8,"Aug 19, 2020",I guess hypocrites are the ones who get to live in the end of the world huh. 
8,"Sep 17, 2020","I kinda feel uncomfortable with the way they reverse the order of the characters’ names. Well, at least they didn’t make Dokja into David or something, so I’m still ok with it."
8,"Sep 16, 2020"," everyone was focused on watching the ichthyosaur, meanwhile our mc: subtlely picks up the late Edgelord's pocket knife and slides it in his pocket.....very smooth bro, very smoooooth...."
8,"Sep 16, 2020",Since there are 550 chapters in the novel and I'm assuming each chapter is made into one episode...one episode a week would take 10 years to finish on webtoon👁️👄👁️thank fock I'm reading the novel 
8,"Sep 16, 2020","(Sense of guilt):- There's blood on my face by killing him...later :- Nevermind... it was on the mirror...
P.s. I'm so hot..!"
8,"Sep 16, 2020","I like the main character in this story because he isn't the stereotypical ""cinnamon roll who protects people and who people want to protect."" He is just a guy trying to survive."
8,"Sep 16, 2020",the real question is who is the writer of TWSA because he/she knew everything from the start OOO this is getting interesting
8,"Sep 16, 2020","i just love how mc acknowledge that he is an hypocrite too, he's actually vwry smart, I've read like 100 eps from the online novel, i like how the story goes "
8,"Sep 16, 2020",The people who stopped reading the story must feel terrible rn
8,"Sep 16, 2020","Ok, the kid is officially my favorite character. Just look at him squeezing Dokja's arm like that. I just wish he survives till the end."
