Episode,Date,Review
92,6일 전,근데 유중혁도 신유승 설득도하고 했지만 다안되서 회귀했던건데 그런걸 김독자 본인이 바꿀수있다고 저렇게 자신만만한것도 좀 신기하네 원작에서 나온 미래도 아니고..김독자 갑자기 착한사람되서 좀 글네 본인이익과 멸망을 막기위해선 뭐든 하는사람 아니었나
92,2022-10-03 00:07,아니 지 스스로한테도 안 쓴 아이템들을 호구 마냥 다 후원하네...
92,2022-09-28 13:23,아이가 살아남기 위해...웹툰 생각없이 읽었는데 지금 생각해보니 이 세계 정말 잔인하네요ㅠㅠ 자기는 살 가치가 없다. 그걸 저 나이의 아이가 깨닫고 있다는게 얼마나 힘들까요.
92,2022-09-26 20:33,댓글들이 감정선 깨요 ㅜ
92,2022-09-24 07:52,강아지..ㅜㅜ
92,2022-09-19 19:10,죄인이라고 벌받을거라는 유승이 랜선이모는 볼때마다 우러ㅠㅠ
92,2022-09-16 00:33,아 강아지 어뜩하냐ㅠㅠ 맘 아파 죽겠서ㅠㅠ
92,2022-09-14 18:43,강아지 죽인 장면 보고 생각난 건데.. 노량진 수산시장이나 그냥 서울에서 횟집하는 사람들은 첫번째 시나리오 때 별 문제 없이 클리어 했겠다 싶음... 활어 한마리 잡으면 되는 거 아녀
92,2022-09-10 22:59,원작을 읽은 나는 뭔가 벌써 눈물나 ㅠㅠㅠㅠ
92,2022-09-02 21:59,설마 본인이 본인 막게 하려는...?
92,2022-08-23 06:11,근데 본인 죽이려 한 사람 일행들 곁에서 자는 것도 대단하긴 함
92,2022-08-15 08:42,독자 이쉐키 첫번째 화신이면 두번째 화신도 있다는겨?
92,2022-08-13 20:16,멍멍이 귀여운데 불쌍하네
92,2022-08-13 00:23,아 나 진짜 김독자 사랑한다고....
92,2022-08-11 14:29,유상아 개별로네
92,2022-08-05 13:54,100명이라니 생각보다 많네
92,2022-08-03 08:44,신유승의 독백(이케 쓰는거 아니긴한데 표현할 방법이 없어...)에서 글자가 점점 흔들리는게 참...안쓰럽네요
92,2022-07-26 06:32,하짜릿
92,2022-07-21 21:41,길영이랑 투닥투닥하는거 얼른보고싶다ㅋ
92,2022-07-21 12:48,ㅠㅠㅠㅠ 
92,2022-07-18 21:27,저게 정상적인 반응이긴 한데 답답하네 갈색머리 아니 답답할수 밖에 이제껏 사이다만 쳐먹었ㄴ는데 고구마를 갑자기 넣으면 
92,2022-07-17 22:38,ㅠ
92,2022-07-13 16:20,꼭..죽는것만 방법인거 아니잖아?
92,2022-07-11 16:19,유승이..너무 짠하네...살아남기위한 행동이 악행말곤 선택지가 없으니
92,2022-07-11 04:21,그럼 독자는 자기가 성좌가 되는게 목표야?
92,2022-07-10 17:58,아기 타노스 ㅁㅊ ㅋㅋㅋㅋㅋㅋ
92,2022-07-08 15:35,유승이 작화 괜찮네요 제가 소설 보며 상상하던 유승이는  붉은 머리에 좀 더 날카로운 이미지였는데 
92,2022-07-05 12:07,신유승 에피만 오면 늘 눈물 버튼을 제어할 수가 없읍니다...
92,2022-06-30 20:57,아니 여기서 키잡이라니...
92,2022-06-30 15:54,독자빛..
92,2022-06-26 22:20,하 쩐다...
92,2022-06-24 23:03,어차피 바꿔야 할 미래라면 멋대로 해야 바뀌지 ㅋㅋㅋ
92,2022-06-17 23:18,유승아아아아아아앙  ㅜ
92,2022-06-16 10:13,이번 화 한 줄 요약 : 우리 유씅이는 언제나 귀엽다
92,2022-06-15 22:52,그러니까 독자는 성좌?가 된거야???
92,2022-06-05 13:12,어린 애가 살려고 발버둥치면서 미안해요 미안해요 하는 거 너무 슬프다ㅠㅠㅠㅠ
