Episode,Date,Review
1,"Aug 19, 2020",This art is HONESTLY SPECTACULAR. Can't WAIT to see where this one goes!!
1,"Aug 19, 2020",IT'S HERE!!!
1,"Aug 19, 2020","If he read the story over ten years, I hope he still remembers the early stuff 😳"
1,"Aug 19, 2020",Yo this better become the next big action fantasy series that’s on WEBTOON in multiple languages that everyone is reading.
1,"Aug 19, 2020","DONT SLEEP ON THIS, THIS IS A TOP TIER MANHWA"
1,"Aug 19, 2020","i would read a 3,000 episode webtoon....just me okay :( edit: omg i just noticed that it was a web novel thanks to everyone for telling me."
1,"Aug 19, 2020",This is one of the most popular korean webtoons! And one of the most legendary web novels!!! Everyone you will love this. 
1,"Aug 19, 2020",I’m a simple woman. I saw a hot guy on the ad. Here I am. 
1,"Aug 19, 2020",Um if I finish this is it gonna happen in real life too? 0-0
1,"Aug 19, 2020",Reminds me of Solo-Leveling!!
1,"Aug 19, 2020",Big rip for reapers scans
1,"Aug 19, 2020",the author of the web novel: *laughs in omnipotence*
1,"Aug 19, 2020",f for reaperscans
1,"Aug 19, 2020",OMG ITS ON WEBTOONS!!! This is one of the best WEBTOONS I've read! This is a good read if you like Solo Leveling! ♥️♥️♥️
1,"Aug 19, 2020","I read this on another site and just after a few chapters, I got attached that I even started the novel. I read this and the novel a few months ago. I already finished the novel and all I can say is that this story won't disappoint you. "
1,"Aug 19, 2020",Am I the only one having a hard time with the math of 3000 episodes read in ten years? 😅
1,"Aug 23, 2020","[FUTURE REVIEW (NO SPOILERS)]~~~~I know how the next episode is gonna turn out, just read the novel. And trust me, the novel is amazing. I loved the cliffhanger on this episode WHICH tempted me to read the novel, and honestly, this is soon gonna get VERY interesting. I never usually get any replies or likes, so if you ask me to send you the link of the comic in the replies section I’d be glad to give the link to you :)"
1,"Aug 19, 2020",Finally early for a new WEBTOON 👺
1,"Aug 19, 2020",THIS IS FROM A NOVEL RIGHT??
1,"Aug 22, 2020",*looks at views and likes to see if I’m the only reader* phew I’m good.
1,"Aug 19, 2020",Who’s here from Reaper Scans
1,"Aug 19, 2020",WHO ELSE IS HYPED BOIS
1,"Apr 14, 2021",omg wait who just came from the current episode?!?! I'm pretty sure it reached the prologue!!!
1,"Aug 19, 2020","3149 episodes in ten years. Let’s say the MC was rounding up even and  actually took 9 and a half years. Each year has 365 days not counting leap years, that’s 3,467 days, so you’re telling me this guy only read .9 episodes a day? You mean he didn’t even FINISH  a full episode in a day? Those are rookie numbers I’d have that thing done in like 2 weeks if I was into it enough. So unless this webcomic only updated daily, that’s still only 8 and a half years so???? Thanks for coming to my Ted Talk."
1,"Aug 19, 2020","Not gonna lie, i feel like I will be addicted to it"
1,"Aug 19, 2020",the notification made me belirve this would be the first intetactive webtoon
1,"Aug 19, 2020",am i the only one who feel the 'Solo leveling' vibes???
1,"Aug 19, 2020",This looks similar to solo leveling because it's made from the artist of solo leveling
1,"Oct 28, 2020","As a person who started reading this webtoon, binged all 551 chapters of the webnovel in a week, and is now returning to webtoon, I believe this is absolutely epic. [Great Fable, ""Omniscient Reader"" has begun its storytelling!]"
1,"Aug 21, 2020",What the heck im in the subway when I opened the webtoon and this suddenly got recommended to me. 👀 
1,"Dec 21, 2020","In my opinion, this is better than Solo Levelling"
1,"Aug 19, 2020",im getting solo leveling vibes 
1,"Mar 12, 2021","Hi. I am a reader of omniscient reader living in Korea.
There are a lot of great things about this work, but I'll talk a little bit for those of you who read it early.

Because of the pronunciation of Chinese and Korean, kimdokja has a triple meaning.

dokja indirectly expresses the person who has read the novel and the person who leads it in a word as a reader and a leader.

In the last Korean and Chinese characters, dokja means a lonely person.

I will only explain it so far. Please try it."
1,"Mar 18, 2021","A masterpiece. I have read almost till the end of the web novel, and I came here to write this comment. Couldn't have described how much emotion this story brought for me. Mad respect for Sing Shong-nim <3"
1,"Aug 20, 2020",i'll be honest i pressed on this because the main character was handsome but i ended up falling for the plot
1,"Aug 11, 2021",I recently finished the novel for omniscient reader and it's a new favorite of mine. if you are considering reading this webtoon I highly recommend it! and if you like it enough to switch to the novel as well. they're both really good and I cant wait until the webtoon gets to some of my favorite arcs! love you kdj you foolish man
1,"Sep 6, 2020",World: *ending*                                   me: he's hot
1,"Aug 19, 2020","WTF  already read to chapter 17 in the translated version, hurry ap and drop the rest guys, I'm mad EDIT: make that 18 ._. plz drop them quick wo we can get back to getting NEW chapters"
1,"Aug 19, 2020","The author is basically saying read the f*ing series,or die😂😂😂. I hear you author. I'll read it"
1,"Apr 27, 2021",moral of the story: FINISH EVERY NOVEL YOU STARTED READING
1,"Jan 25, 2021",guys i don't recommend you to read every comments (specially the newest) 'cause this webtoon is based on a novel which already reach the end. So there could be people spoiling the end or the next episode. 
1,"Aug 28, 2020",Petition to make this into an anime!!!
1,"May 13, 2021",I finished reading the novel. Everything was very unexpected. I rarely ever rate any work but this is literally masterpiece. I still cant believe I ended up completely reading it without dropping even once. For past few days my schedule was wake up and read till before going to bed. I roughly spent 14-16 hr reading this for past week skipping every daily activity I used to do but neitherless reading this was worth it.
1,"Aug 24, 2020",If 2020 was a webtoon 
1,"Aug 22, 2020",BRUHH THIS ARTSYLE IS INSANE WTF MY EYES HAVE BEEN BLESSED
1,"Jul 19, 2021",looking at the last panel just makes me emotional 😔
1,"Apr 14, 2021",here after ep 42
1,"Jan 8, 2021","I just started reading this because it was in my recommendations, and wow, the art? Spectacular. The story line? ALREADY so interesting. I have been searching for a good webtoon and here I am."
1,"Aug 22, 2020","when i started reading the comic it had one chapter only and i got so excited because the story is unique ,i started reading the novel and finished 350 chapters in 4 days  i basically did nothing but reading and it is worth reading the author knows how to surprise the reader and believe me it will be one of the best comics ever  "
1,"Aug 19, 2020","y’all please do yourself a favour and read the web novel— you will NOT regret it. (it’s on wattpad too) this is honestly such a good read— it’s both heartbreakingly tragic and wholesome and hilarious at the same time. you will squeal and laugh and cry in the same chapter. it’s a masterpiece, honestly my favourite piece of media ever"
1,"Jan 13, 2021",This web novel is actually so good! Just wait you guys are gonna love Dokja
1,"Jan 28, 2021",any other regressors here? ok just me for the 200th time . . . . 
1,"Jan 8, 2021",“Who would read a web novel with over 3000 episodes?” one piece fans: 👀😳
1,"Dec 31, 2020",don't tell me this series will also take 10 years to finish😐
1,"Aug 22, 2020","The MC of this series is the definition of ""found the entire test on quizlet""."
1,"Apr 30, 2021",Webtoons be like: “Binge a series about how binging a series ended the world. We’ll give you coins!”
1,"May 1, 2021",it only took 44 chapters to get to where the story began.
1,"Aug 19, 2020",Finally the web novel got a webtoon!
1,"Apr 27, 2021",Came here for the coins but damn…
1,"Apr 27, 2021",u get coins while reading such masterpiece? talk about a whole package deal.
1,"Mar 18, 2021","This is my first time using this app, I clicked on a random one, the artwork literally blew me away and the story looks unique can't wait to continue "
1,"Jan 7, 2021",I love the art! Especially the backgrounds. Background Artist(s) deserves an applause 👏🏼
1,"Dec 22, 2020",The apocalypse was the author's way of revenge because no one read his 10 years of work
1,"Aug 25, 2020",Everyone came for the free coins but nobody noticed his dedication of reading the web novel for ten whole years. I wish i had that level of dedication 
1,"Apr 28, 2021",what do you mean 3k chapters discourage people from reading? who are those weaklings? 
1,"Apr 27, 2021","K listen, i only read this bc of the free coins but this comic is actly fire, very pleasant surprise, props 🔥🔥🔥"
1,"Apr 26, 2021","Thanks to this event, I now have an excuse reread this. The funny thing is that it was an event that originally got me into this series"
1,"Jan 17, 2021",I'm sorry but...the art is just... marvelous. 
1,"Jan 6, 2021","well, the mc is hot don't come for meeeee haha"
1,"Aug 15, 2021",to new readers: this is going to be one of the best things you've ever read. trust me on it.
1,"Jan 6, 2021","LMAO, after looking at this again After awhile I finally noticed, that there is Probability everywhere at the beginning! novel readers will get it xP"
1,"Aug 25, 2020",That's one dedicated author.. Writing a webnovel for a decade with only one reader.. I salute him/her..
1,"Aug 23, 2020",Also to the people who've read the novel already - remember to like each episode so maybe we can even get an anime!
1,"Dec 23, 2021","I feel lost after reading the ending of the ORV novel, IDK what to read next so I just decide to reread the webtoon ver. to mend my heart ●︿● "
1,"Jul 7, 2021","rereading because i really want to relive the amount of happiness this webnovel gave me 🥲 it’s really amazing, and i wished i was able to reread it for the first time all over again … the best thing i’ve ever read."
1,"May 28, 2021",finally far enough in the novel to name everyone on the final panel.
1,"Apr 27, 2021",who's re reading this while waiting for the next episode?
1,"Apr 14, 2021",i can imagine a sick anime intro
1,"Aug 19, 2020","To be Honest I'm already on chapter 17. 

(And already finished reading the novel)"
1,"Jun 22, 2021","I just finished reading the full web novel… it was immaculate… whatever you do, make sure to read this amazing series!!"
1,"Jun 21, 2021","im looking at this chapter again and im thinking aho are the other characters at the last panel. one thing im sure is its sangah, gilyoung, jihye, heewon, hyunsung, yoosung, maybe joonghyuk and sooyoung"
1,"Jun 11, 2021","IT ALL STARTED HERE!!! Because of this prologue, I was enticed to read my first ever webnovel. DAMN, who would have thought that I managed reading all the 551 chapters 😆😭 Maybe it will take a decade 'til this manhwa reached the epilogue, but I can surely wait... because this is a story that I will definitely treasure 'til my next life :')"
1,"Apr 13, 2021","the best web novel i've ever read! cried at the ending ahahaha you'll 100% get attached to the characters, especially kim dokja. his character development is just- the best! the webtoon of course won't disappoint for sure! thank you author for this amazing experience! gg to read for the second time now <3"
1,"Jan 6, 2021","After finishing the novel, i came back to reread the webtoon. The prologue and art so beatufuk, it literally made me cry all over again"
1,"Sep 7, 2020","Hhhhh. I absolutely love ORV. I’m so happy this is here. Its one hell of a ride. I’ve cried and laughed and yelled at my screen more times than I could count.  PLEASE DO NOT GIVE UP ON THIS. Do not be a person who stops reading halfway. As this story will make you change your mind about other stories you’ll encounter in the ■ ■.  
I wish you all a safe journey to the ■ ■ of this story. Let’s all laugh and cry together, shall we?"
1,"Aug 22, 2020",This premise has an insane amount of potential. Can't wait for more.
1,"Dec 18, 2021",the novel is insane
1,"Sep 14, 2021","Hey, new readers. Keep reading, It's really good. I'm a lazy ass who rarely read novels but this one...I can't stop reading this one. Every chapter I always end up getting more hooked. It's easily my top 1 novel/manhwa."
1,"Jul 2, 2021","I've been bingeing the LN n here I am after finally finishing it... Lemme just say that this is one of the most awesome stories ever, with the twists n even the ending was awesomee, can't wait to start the journey once more with the amazing art here 🤩🤩"
1,"Jun 29, 2021",The dedication of MC to continuously read the novel for 10 years. The story must be great according to his perspective. Looking forward to the next chapters.
1,"Jun 20, 2021","I have to say, now that I've come back to this after reading the entirety of the novel, I look at a few of these scenes differently... :P"
1,"May 26, 2021","Rereading after reading the whole web novel. I love that I get all the references now. Guys I’m speaking in lowercase and periods, but you have to believe me. I’m having a heart attack of excitement right now... seriously. I love this sunfish’s story"
1,"May 21, 2021","Y’all ever just come back to reread the first ep so you can see it from a different viewpoint then when you first read it? Also it’s weird that when I read this , I actually noticed things, characters and scenes that have happened, I really can’t wait to see what happens next. Thx for listening to my ted talk😙✌️"
1,"Apr 26, 2021",who else only came for the coins and is actually invested now 🙋‍♀️
1,"Apr 12, 2021",This webtoon better have 3000 episodes 😤
1,"Feb 13, 2021","Who would ever read 3,000 chapters..... Hi, I’d like to introduce me, someone who doesn’t have a life so reads 200 chapters from different stories every day"
1,"Aug 24, 2020",here for the free coins but dang this is actually good 👏👏
1,"Mar 1, 2022",:O did anyone else notice the white coat? He’s now got it in the current chapter. That’s cool 😎
1,"Dec 5, 2021",he comments on every single one of the episodes  too 😭
1,"Oct 28, 2021",I just finished reading the novel and I'm so happy I got to read this story. Definitely my favourite webnovel. First time I shed tears while reading
1,"Oct 22, 2021",If I were in his shoes I probably still would've died. I'm just that type of dumbas.
1,"Sep 23, 2021",lol I think lots of novel readers are here too
1,"Aug 12, 2021",“Who would read a webtoon with over 3000 episodes” me knowing damn well i would have that read in a month 🙃
1,"Aug 5, 2021","I'm almost finished with the novel and here I am, the last panel even though it's just their back I can tell who is who. Also I can't wait for the novel come to life in this webtoon, I was honestly mind blown with the twists and turns of the events. And while reading I can't help but associate some of it with the game Mobile Legend. If you want to know why, just continue reading. :)"
