Episode,Date,Review
1,5시간 전,소설로 몇화까지 나옴?
1,18시간 전,전독시 웹툰 ㄹㅇㅜㅜ 소설이 좋아도 그림이 이상하면 별론데 그림체고 딱 전독시를 위해서 만들어진 듯함...하 사랑해 이번에는 너다
1,21시간 전,작가님도 결말 알잖씀
1,22시간 전,"읽기 전****** 전독시 대댓글 보며 스포 안 당하는 법 ******
대댓글 창 들어온 즉시 화면 내리면서 싫어요 수를 확인하고, 싫어요 수가 많은 답글은 제외하고 그 위까지만 답글을 본다. 혹은 싫어요가 유독 많은 답글이 보인다면 내용은 보지 않고 차단하도록 한다.

진짜 개꿀팀이에요ㅇㅇ 이것만 기억하면 기분 안망치고 즐감할수있음

단, 베댓이 아닌 전체 댓글은 싫어요 수로 스포를 구분하기 쉽지 않으므로 안 보시기를 권장합니당"
1,22시간 전,김독자못생긴설정아니엇나
1,3일 전,8번째 정주행 시작~!
1,3일 전,3000화 넘는 소설이 몇년뒤엔 탄생할지도..ㅋㅋOOO의 화산귀환
1,4일 전,오랜만에 정주행 할 사람~~~~?
1,5일 전,재밌겠당
1,5일 전,소설을 다 보신게 아니시라면 절대 답글이랑전체 댓글 보지마세요 스포당한거 후회중
1,2022-09-29 17:14,와 작화 뭐냐 대박이다
1,2022-09-28 20:47,평균 조회수가 1.9라는건 주인공 말고 읽은 사람이 있다는거 아냐
1,2022-09-28 17:35,뿌잉뿌잉부엉부엉
1,2022-09-28 00:51,아진짜 ㅠㅠㅠ 네이버 후원기능 없나??? 진짜 후원하고 싶다 이건 무료로 봐선 안될것 같아 ㅠㅠ
1,2022-09-28 00:50,정주행하시는분? 
1,2022-09-25 01:53,전독시 미루고미루고미루다가 찍먹 시작
1,2022-09-23 17:49,막컷 무슨 장면임? 소설 다 읽었는데 모르겠음ㅠ
1,2022-09-23 13:24,정주행하는데 마지막컷 다 알것같네
1,2022-09-21 15:14,ㅋㅋㅋㅋㅋㅋㅋㅋ 실화냐 저거 ㅋㅋㅋ
1,2022-09-21 07:34,그러니까 3149편이나 연재하신다는거죠?
1,2022-09-20 23:29,"[설화, '스포일러를 당한 자'가 이야기를 시작합니다!]멸살법작가=한수영 
은밀한 모략가=원작 유중혁
유중혁 배후성=가장오래된꿈=김독자
지금 유중혁은 3회차가 아닌 기억잃은 1864회차"
1,2022-09-19 23:59,안녕하세요 미래에서 왔습니다. 전독시 진짜 재밌으니까 꼭 보게요~
1,2022-09-18 14:22,아 기대된다
