,Review
0,기대보다 웹툰에서 전투신이라던가 캐릭터들의 매력 그리고 몹들까지 잘 살린거 같아서 재밌게 봤습니다. 소설로 볼 때는 별 생각없이 넘어갔던 장면들도 있었는데 웹툰으로 만화로 보게 되다 보니 영상과 상상이 다르다는걸 새삼 느끼기도 하고 작가님이 잘 살린 장면들이라던가 실제 눈으로 보게 된 몹들의 모습이라던가 상상과 다르지만 그 나름의 매력이 더 잘살아서 그런가 재밌었어요
1,전지적 독자 시점 1권 초판 한정 부록 포함입니다이제 막 시작되는 부분이라 엥...? 음...? 하는 부분이 아직 많아요.특히 성좌물이라는 소재를 거의 처음 접하는거라 진짜 많이 헷갈렸어요. 그래도 지금은 4권까지 발매됐고 웹툰으로는 더 많이 나와서 쭉 몰아보면 아하! 하고 알아차리는 부분이 생겨서 읽기 쉬워졌습니다. 흡입력도 좋고요.단지 벌레를 전혀 못 보는데 그 부분이 너무 리얼하게 그려저서......ㅠㅠㅠ 아예 포스트잇 붙여서 가려놨습니다... 1권에 정말정말 큼직하게 나오니까 마찬가지로 벌레 못 보시는 분은 주의하세요.
2,"""에이템포미디어에서 출간 된 싱숑 작가님의 작품을 슬리피-C 작가님이 웹툰화한 작품의 단행본을 구매하였습니다. 웹소설 원작은 읽지 않았지만, 웹툰이 인기가 많아서 관심을 가지고 있던 찰나에 사은품을 위해 일정 금액을 채워야해서 이번 기회에 구매하게 되었습니다. 워낙에 유명한 작품이니 스토리등에 관련하여서는 모두가 잘 알고 있을 것이라 생각 됩니다. 읽어보니 왜 인기가 있는지 알 것 같습니다. """
3,"""전지적 독자시점 1권 싱숑원작 작품입니다.주위의 추천으로 구매하게 된 책입니다.엄청난 유명작인 건 알지만 원작을 보지 않고 이렇게 책으로 접하였는데요,많은 분들이 캐릭터에 대한 호불호가 있는 것 같더라구요.저는 원작을 보지 않아서 글 분위기라던지 그런걸 못 느껴서 캐릭터 이미지가 괜찮다고 느꼈습니다.초입부 내용이라 앞으로 전개를 지켜봐야겠어요."""
4,"""원작이 한창 연재 중에는 소문만 들었다가 완결 난 뒤에 친구의 추천으로 읽게 된 소설이었는데, 웹툰으로 나온다는 말에 또 이 작품까지 구매하게 되었습니다. 제가 예상했던 그림체와는 조금 달랐지만, 어쩌면 그래서 더 신선하게 볼 수 있었던 작품인 듯합니다. 이미 내용은 알고 있기에 약간 무감할 수도 있던 장면을 새로운 느낌으로 볼 수 있었으니까요. 다음 권도 기대하겠습니다."""
5,원작을 정말 좋아해서 웹툰 나온다는 이야기를 듣고 굉장히 기대가 컸었습니다. 그리고 기대했던 만큼 잘 뽑힌 웹툰 중 하나라고 생각해요. 아쉬운 점이 없었다고는 못하겠지만 작화도 괜찮고 각색도 나름 웹툰에 잘 맞게 적용된 것 같습니다. 웹툰 단행본 나온다는 소식에 기다렸다가 바로 질렀던 건데 후회는 없어요. 활자 너머와 제 상상속에서만 존재하던 것들이 눈 앞에 생생히 잘 구현된 느낌이라 즐겁게 잘 봤습니다. 다만 이미 웹툰 연재 분을 완소하고 있기도 하고 원작 자체가 워낙 장편이다 보니 웹툰화 특성상 권수의 압박이 장난이 아닐 것 같다는 생각 때문에 웹툰 단행본을 계속 모을지는 잘 모르겠어요 ㅠㅠ
6,전지적 독자시점 1권입니다 예전부터 많이 들어왔고 인기도 엄청나다는 걸 알고있었는데 소설로는 화수가 너무 많아서 업두를 못내고 있었는데 웹툰으로 나와서 바로 보기 시작했습니다 그런데 내용이 너무 재밌어서 웹툰 현재편까지 다보고 소설로 정주행하기 시작했습니다 완결이 난 소설이라 다음화를 기다릴 필요도 없어서 너무 좋았습니다 그러다가 단행본이 나오고 심지어 부록까지 취향이여서 바로 구매했습니다 ㅎㅎ 소설화수가 너무 많아서 웹툰으로는 완결나는데 몇 십년은 걸릴것 같지만 같이 달리겠습니다 ㅎㅎ
7,"""싱숑 원작, 슬리피-c 글그림의 전지적 독자 시점 1권 리뷰입니다.남자주인공 너무 잘생기게 잘 그려주셔서 몰입감이 최고였어요.남자주인공 뿐만 아니라 인물들을 얼마나 예쁘고 잘생기게 그려주셨는지 아주 즐거웠습니다.또한 판타지를 현실로 구현하고, 특히나 전투신은 잘 그리셔서 어렵지 않게 술술 읽었습니다.그림이 취향저격이라 너무 재밌게 읽었구요, 원작도 많이 기대가 됩니다.2권도 빨리 읽어야겠어요. """
8,"""                째진다. 초판 세트 구매 시에만 주는 줄로 잘못 알고 있었는데 캐릭터 카드가 동봉돼 있다.지금 보면 버젓이 상품명 옆에 그것도 파랗게 강조돼서 쓰여 있구만 왜 몰랐는지 모를 일이다.대대손손 물려줄 거다. 유중혁 잘생겼고, 김독자 잘생겼고, 재밌고, 재밌고, 구매자라면 모두가 입을 모아 칭찬하는 표지 재질은 말할 것도 없고. (같은 시리즈끼리 부대끼면 조금만 공간이 딱 맞아도 집어넣기 힘겨울 것이 보이지만, 아무래도 좋다.)웹툰 완결까지 얼마나 남았을까 생각하면 아주 암담하다. 또 모두가 목이 빠져라 바라보고 있는 소설 단행본은 언제 나와 주려나. 웹소설로만 장장 500화니까 벽돌 같이 생겨서는 열 권도 거뜬히 넘길 텐데 나오면 모으고 나오면 모으다가 대체 언제 끝이 나려나.설렌당 ><*어디까지나 주관적인 의견. 선택은 리뷰 뒤지러 온 본인 몫."""
9,이건 ㄹㅇ 갓띵작 진짜 꼭 읽으셈 근데 이거 표지재질이 ㄹㅇ 남들말대로 뭔가 독특함 벨벳재질???암튼 그럼 이런 표지 처음 만져봄근데 퀄 겁나 높고 그 만화책은  그 배열이 잘되어있어야 하잖슴?이거 보기 편하고 완전 딱딱 맞춰져있어서 진짜 좋음 ㄹㅇㄹㅇ이거 왜 안읽어??진짜 추천하는 시리즈....아직도 전독시 안읽어본거 아니지...........?에이 설마 ㅋㅋㅋ 아무튼 꼭 읽어보셈 후회안함 ㄹㅇ 내 인생작....그림체 존잘이라구여ㅠㅠㅠ
