,회차,날짜,댓글,답글,좋아요,싫어요
0,13,2020-05-26 23:01,나 닉값해도 되냐,66,62660,542
0,13,2020-05-26 23:02,먼저 소설 보신 분들~ 다들 굉장히 감격스럽고 기대되는 장면이 있으시겠죠? 저도 그렇거든요. 그러나 처음 보는 분들도 계시니 저희가 느꼈던 그 전율을 느낄 수 있도록 부디 스포 자제!!!!! 부탁드립니다! 그리고 처음 전.독.시를 보게 되신 분들~ 전지적 독자 시점의 독자가 되신 것을 환영합니다!,29,47269,643
0,13,2020-05-26 23:01,"「오직 나만이, 이 세계의 결말을 알고있다.」 레전드 갓작의 등장입니다.. 여러분 달리세요. 절 믿고 달리세요..",29,34064,508
0,13,2020-05-26 23:07,이 소설 멸살법 표절 아닌가요? 하 저번에도 s뭐시기 표절 있던데 표절좀 그만하세요;;,76,30367,2289
0,13,2020-05-26 23:14,표절 얘기 드립이에요 ㅎㅎ 작중 나오는 소설 멸살법 표절 드립입니다,12,26485,373
0,13,2020-05-26 23:01,전독시 웹툰 진짜 퀄리티 미쳤다 너무 잘나왔다... 눈물이 앞을 가리네요..,8,14252,243
0,13,2020-05-26 23:15,소설 안본 놈들이 벨이라고 까더라ㅋㅋㅋㅋ이건 김컴 주인공들이 서로가 서로를 구원하는 구원서사임 오해ㄴㄴ,20,10757,900
0,13,2020-05-26 23:10,다들 제 닉처럼 행동해주세요,19,10619,244
0,13,2020-05-26 23:13,눈 크게뜨고 봐라.고개 돌리지 말고 봐라. 입 다물고 봐라. 이 소설 이상한 애들이 bl로 엮으려고 하지만 bl 아니고. 다른 소설 플랫폼에서 1위를 밥먹듯이 하는 작품이다. 안보면 인생 절반은 손해보는거니 꼭 봐라..이 형이 두손 꼭잡고 추천해준다,13,10306,1678
0,13,2020-05-26 23:12,비엘 드립 치지마세요 님들만 웹툰 보는거 아님...,8,8571,870
0,13,2020-05-26 23:50,나 오늘 이작품 첨 보는데 소설로 엄청 유명한가봐요? 전 여자인데 여자들이 봐도 재밌을까요? 아. 그냥 소설로 달릴까요?,34,7197,567
0,13,2020-05-26 23:16,드디어ㅠㅠ 표절 드립이예요! 소설 원작입니다ㅠㅠ 진짜 재밌게 잘 읽은 작품이예요ㅠㅠ,3,6905,262
0,13,2020-05-26 23:06,여러분 이거 개띵작이에요 꼭 보세요,8,6755,222
0,13,2020-05-29 21:04,"이 작품 시리즈와 문피아에서 원작 구매 성비 확인해보면 둘 다 남성 비율이 더 높은 거 확인할 수 있음. 웹툰도 10,20대 남성 실시간 랭킹 1위 찍음. 무슨 비엘이라고 자꾸 왜곡하면서 여자만 보는 거처럼 주작질인지 하는지 모르겠네. 며칠동안 동일인이 댓글창 상주하면서 난리치는데 그저 한심함. 닉네임이라도 바꾸고 오던가ㅋㅋㅋㅋ",21,4535,372
0,13,2021-08-03 20:46,#8월의기적_유중혁_생일축하해#HappyJoongHyeokDay_2021 #HappyYJHDay0803 #중혁아_우린_생일축하를_받을수있다_알지 #더이상_고독하지_않을_순례자에게 #스타스트림에_패왕_유중혁_탄신축하의_함성이_널리_퍼집니다 #촛불이_너무_많아서_불_수_없는_것인가 #오늘의_주인공은_너야_중혁아 #1864번을_돌아_행복해진_너의_오늘,32,729,98
0,13,2020-05-26 23:14,근데 유상아씨 커뮤니케이션능력 너무 쩌는것같아 나였음독자에겐...독자의삶이 있는거죠. 이러면 네...?아 네....^^;;그..그렇죠!!!!이랬을텐데ㅋㅋㅋㅋ,23,60275,188
0,13,2020-05-26 23:06,오늘부터 댓글로 스포하는 사람 유죄임ㅠㅠㅠㅠㅠ👊👊,28,32338,272
0,13,2020-05-26 23:07,"| 내 사랑 전독시에게. || 제 돈을 다 바치겠습니다 | ￣￣￣￣∨￣￣￣￣￣￣￣ 　　　 ∧_,,∧ 　　　(`･ω･´) 　　　Ｕ θ Ｕ 　／￣￣｜￣￣＼ 　|二二二二二二二| ｜　　　　　　 ｜ 찰칵 찰칵 찰 ∧∧└ 　∧∧ 칵 　(　　)】 (　　)】 　/　/┘　/　/┘ ノ￣ヽ　ノ￣ヽ{ 줄 돈은 있나요?!",16,24549,331
0,13,2020-05-26 23:06,작가님 깨알 멸이세 홍보ㅋㅋㅋㅋ 원작 작가님 전작인 멸망 이후의 세계에서 살아남는 법도 읽어주세요!,15,17404,156
0,13,2020-05-26 23:08,핸드폰 못보게 치우는거에서ㅋㅋㅋㅋㅋㅋ 공공장소에서 소설보는 내 모습을 느낌...,2,15537,138
0,13,2020-05-26 23:09,아직 안 나온 캐릭터 이름도 스포하지 맙시다,11,9750,143
0,13,2020-05-26 23:09,저희 스포성 댓은 하지 말아요.. 그날그날마다의 주접만 떨자구요...,3,9380,155
