productNo,Date,Review
3400123,16분 전,📌유중혁 엉덩이
3400123,28분 전,📌우리엘 경악 3번
3400123,48분 전,너무 슬프다 이번 화
3400123,1시간 전,주인공...간혹 고구마 먹이는거 짜증이네...
3400123,1시간 전,유중혁 욕 하는 거 왤케 섹시함
3400123,1시간 전,유중혁! 백마탄왕자님처럼 등장!
3400123,1시간 전,독자가 김남운을 미워했던 이유가 999 중혁을 망쳐서였구나
3400123,2시간 전,대성이 막내사랑 지극하네
3400123,2시간 전,📌서유기 리메이크의 마지막 이벤트
3400123,2시간 전,지혜 장전 수영이 줜나 이쁘다
3400123,2시간 전,용이 인정한 적수이거는 얌룡이가 준 건가? 
3400123,2시간 전,📌15위
3400123,2시간 전,이 새x 지 몸 졸라 막 써 ;;
3400123,2시간 전,📌아무것도 기억하지 못하는 자에겐 슬픔이 없는 것입니까?
3400123,2시간 전,📌Ep.3 구원의 마왕은 힘을 안숨김
3400123,2시간 전,그 김도게자님 찬양이 머릿속에서 맴돌아요 ㅋㅋㅋㅋ
3400123,3시간 전,멋지다 모두들 염룡이 리엘이 오공이 그리고 명계
3400123,3시간 전,뿌듯하고 자랑스럽다 김컴!
3400123,3시간 전,근데 그럼 질문의 재암명일상  만들도 다 왜곡된 말이였던거?불쌍하다..
3400123,3시간 전,📌벽을 넘어선 여정을 꿈꾸는 위대한 모략
3400123,4시간 전,"📌Ep.2만두를 먹어라 유중혁
(구)일러스트"
3400123,4시간 전,2022 10/7 9:15 3번째 완독!
3400123,4시간 전,📌유중혁 저팔계
3400123,5시간 전,니르바나의 영혼을 포식한 제4의벽
3400123,5시간 전,가운데 다리는 절대 안된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소중이는 소중하구나
3400123,5시간 전,😭
3400123,5시간 전,와우
3400123,5시간 전,"공개된 여덟번째로 강한 화신, 월하신녀 유상아공개된 일곱번째로 강한 화신, 무장성주 공필두
공개된 여섯번째로 강한 화신, 멸악의 심판자 정희원
공개된 다섯번째로 강한 화신, 순정강철 이현성
공개된 네번째로 강한 화신, 흑염여제 한수영
공개된 세번째로 강한 화신, 패왕 유중혁
공개된 두번째로 강한 화신, 구원교주 니르바나"
3400123,5시간 전,😭
3400123,5시간 전,"공개된 아홉번째로 강한 화신, 곤충소년 이길영유중혁Vs니르바나
한수영의 배후성이 된 심연의 흑염룡"
3400123,5시간 전,"도깨비의 랜덤박스에서 고대야수의 열매를 얻은 신유승니르바나에게 붙잡힌 이수경, 유상아
유중혁과의 대결에 응한 니르바나
서울 최강의 화신 김독자"
3400123,6시간 전,멸살법에서도 끝내 밝혀지지 않았던 유중혁 배후성
3400123,6시간 전,니르바나 의문의 1패
3400123,7시간 전,다시읽기
3400123,7시간 전,"피스랜드 다녀온 사이에 끝난 시나리오#7
자동으로 시작된 시나리오#8 - 최강의 희생양"
3400123,7시간 전,"지하철 무대화김남운, 너는 구원 받을 수 없어."
3400123,7시간 전,분통함에 눈물을 흘립니다ㅋㅋㅋㅋㅋㅋㅋㅋ
3400123,7시간 전,강철의 첫번째 증명을 완료한 이현성
3400123,7시간 전,그저 어룡 다음 이야기가 궁금했을 뿐이었는데
3400123,7시간 전,제천대성이 유승이에게 위로를 받은 이유 독자의 이야기를 듣고 해주고싶어함 삼장에게는 못했던것
3400123,7시간 전,ㅊㄱㅍ 죽지마 구원의 마왕
3400123,7시간 전,📌자라나라 머리머리
3400123,8시간 전,1864 중혁이가 3회차 중혁이었구나
3400123,8시간 전,긴고아로 김독자의 구원튀를 막아라
3400123,8시간 전,📌 카이제닉스 제도의 리카르도 왕자에 빙의한 김독자 
3400123,8시간 전,💡은밀한 모략가 정체
3400123,8시간 전,📌 만다라의 수호자 만남 / 그녀를 다시 만났을 때는 이미 50년이라는 세월이 지난 후라는 것을.
3400123,8시간 전,이거 웹툰으로 나오먄 유중혁이 세 명이겠네???? 개극락-갸천국~ 그림 작가님들 힘내세요... 
3400123,8시간 전,"📍아름답지 않나, 메타트론? 이것이 우리의 종말이다.📍구해달라고 단체문자 돌린 김독자🤣🤣🤣"
3400123,8시간 전,999유중혁은 진짜 김독자의 유중혁 버전이네 
3400123,8시간 전,"📌📌 2월 15일. 오늘은, 나의 생일이었다. / 멸살법 최종본 / 유중혁 ""은밀한 모략가. 너는 미래에서 온 김독자인가?"""
3400123,8시간 전,"💡나는 왜 김독자 컴퍼니 안 끼워주는데?💡제천대성 쌉간지;;;
💡김독자 찾으러 우주 헤매는 유중혁 한수영 정희원"
3400123,8시간 전,"💡양산형 제작자 코인으로 개연성 부담[설화, 황금만능주의(黃金萬能主義)가 이야기를 시작합니다!]
💡[성좌, 긴고아의 죄수가 시나리오에 현현했습니다!]"
3400123,8시간 전,드러누운 드래곤 ㅋㅋㅋㅋㅋ와룡이냐 설마?
3400123,9시간 전,"📌 ""내게 흙을 먹인 죄다"" / ""당신도 한번 느껴봐요. '독자의 기분'이란 게 대체 어떤 건지."" / ""우리 , 다음 생에 또 만나요."""
3400123,9시간 전,💡김독자가 왜 세계를 구해야해? 그 사람이 내가 구하고 싶은 세계야
3400123,9시간 전,"📍[설화, 아내의 말을 들으면 자다가도 떡이 생긴다가 이야기를 시작합니다!]📍낌새 보이지 말아요. 나 미쳐버리니까
📍저를 꼭 구해주세요, 희원씨"
3400123,9시간 전,"📌📌 유중혁과 김독자 죽일 듯이 싸움 / ""시시하지? 그냥, 이게 나야. 유중혁, 너는 누구지?"""
3400123,9시간 전,제우스 강림/ 거대 설화 승
3400123,9시간 전,"📌 김독자 대신 유중혁과 얘기하다 한수영이.... / [너를 죽이겠다, 유중혁]"
3400123,9시간 전,"📍두번째 꼬리짓 / 아빠 카드 쓰는 김도게자성좌, 부유한 밤의 아버지가 시나리오에 현현하였습니다!"
3400123,9시간 전,유승이랑 독자 사이를 아니 더 슬프다
3400123,9시간 전,"📌 미카엘 화신체 죽이고 설화, 계시의 설계자 획득 / 김독자 별자리 복원 / 멸살법 댓글 보여주는 선악과 / ""당신은 12시간 뒤 패왕 유중혁에게 죽게 돼요."""
3400123,9시간 전,📍구원튀에 단단히 질려버린 김컴 사람들📍나는 키리오스 로드그라임. 이 게으른 제자 녀석의 스승이다.
3400123,9시간 전,성화봉송/362회차
3400123,9시간 전,📍인맥 총동원해서 성좌들 모아옴📍묵시록의 최후룡이 활동을 시작했습니다.
3400123,9시간 전,"📌 독자 작전 눈치 챈 아스모데우스 / 선악과 먹은 김독자 -> ""마왕이 선악과를 먹으면 어떻게 될까?"""
3400123,9시간 전,"📍악을 관둔 아가레스📍묵시록의 최후룡과 대화 나눈 독자
📍도깨비왕에게 배신 당한 최후룡"
3400123,9시간 전,📌 미카엘 타락 / 당신의 표적 수식언은 정욕과 격노의 마신입니다.
3400123,9시간 전,"📍묵시룡 선별, 염룡이 등장"
3400123,10시간 전,한명오 성흔 개웃기다 이현성 슬프다
3400123,10시간 전,"📍영원히 기억되기 위해 묵시룡을 깨우려는 메타트론미카엘 배신, 라파엘 죽음
대도깨비 “성마대전을 포기해라. 그러면 너를 마지막 시나리오에 데려가 주겠다.”"
3400123,10시간 전,2022 10 07 2:57 / 2회차 완료
3400123,10시간 전,기??????!!!??!!
3400123,10시간 전,"📍종말의구도자 나대는중 / 수르야 등장, 혼돈수치 90돌파"
3400123,10시간 전,일은 안하고 죽이네
3400123,10시간 전,"📍장하영에게 죄책감을 갖고있는 김독자📍누군가가, 이 세계를 멸망시키려 하고 있었다."
3400123,11시간 전,웹소설 무시하던 것들은 이걸 보길
3400123,11시간 전,999999억 골드
3400123,11시간 전,인터넷 여론 조작의 대가 한동훈이라...ㅋㅋㅋㅋ
3400123,11시간 전,뭐야 표지 바꼈네 예전표지가 귀여웠었는데 아쉽네
3400123,12시간 전,방제 줜나 웃기네용
3400123,12시간 전,📌 가륵가륵 돌멩이 / 아스모데우스에게 대천사 사냥 제안하는 김독자
3400123,12시간 전,📌 중섬 도착 / 수식언 뺏기 시나리오
3400123,12시간 전,"📍유상아 석존 대화, 개썅마이웨이 김독자"
3400123,12시간 전,"📌 설화, '만물의 사랑을 받는 자' / 설화의 말에 귀를 기울여라. / 1863회차 기록 읽는 유중혁"
3400123,12시간 전,📎 형은 남자를 좋아해
3400123,12시간 전,"📍메인 성마대전 시작, 김독자 컴퍼니 집합"
3400123,12시간 전,"📌 설화, '돌멩이와 나'가 이야기를 시작합니다."
3400123,12시간 전,저 회차 리더가 한수영인가???? 뭐지???
3400123,12시간 전,"📌 척준경 / 일권무적 유호성(키리오스, 파천검성 스승)에게 설화 통제법 배우려는 독자"
3400123,12시간 전,📌 독자 지혜
3400123,12시간 전,ㅊㄱㅍ
3400123,12시간 전,이거 진짜 웹툰 어케 그림?
3400123,12시간 전,"📍“이제 그들의 동의 따윈 구하지 않아.”이젠 선도 악도 아닌 정희원이 말하고 있었다.
“우리가 심판할 대상은 우리가 정해.”

희원이 간지 미쳤다"
3400123,12시간 전,📌 환생자들의 섬
3400123,13시간 전,"여기서도 기만하네 소설속에선 안그런걸 알면서도 행복했다고? 이런게 다 기만인거지 착한거짓말? 그건 그냥 포장일뿐임 거짓말은 거짓말일뿐 착하든 나쁘든 본질은 변하지 않음 독자는 용서를 구하기 위해 다 말했다면서 아직도 기만할뿐임 아직도 정보를 통제하고 있고 등장인물들을 조종하고 있음 아직도 등장인물들에게 미래를 재대로 얘기해주지 않았고 사실대로 밝히지 않았음 그게 그 등장인물에게 좋은 영향을 끼치든 말든 말해줘야함 그게 상대방을 기만하지 않는 길이니까. 결국 독자는 등장인물들을 위해서 말한게 아니라 그저 자신의 죄책감을 덜기위해 고백했덩것 뿐임 한수영은 그것을 알아서 널위해서 그러는거냐고 물은거고
애초에 시작할때 밝히지 않은 이상 기만일뿐임 여전히 기만하는거고  이소설이 재밋었던건 포장이 없어서였는데 자신이 하는 짓이 악인걸 인지하고 행하는게 마음에 드는건데 어느순간 그저 합리화뿐이네"
3400123,13시간 전,📌 유중혁 에덴 와서 상의탈의하고 계시 요구
3400123,13시간 전,"💡한때 웅크렸던 자는 악을 심판하기 위해 멸악의 심판자가 되었다. 그렇다면 선에게 배신당한 심판자는, 무엇이 되는가.
정희원 전설급 특성 개화 - 멸망의 심판자

[당신은 멸망의 심판자가 되었습니다.]"
3400123,13시간 전,아니근데 왜 독자는 저렇게 된다고 일행들한테 말 안한거지??
3400123,13시간 전,"📍망설일 필요도 없는 일이었다.왜냐하면 그들 또한, 그렇게 구해졌으니까.

정희원 이현성 죽지마ㅠㅠㅠㅠㅠ"
3400123,13시간 전,📌 일행들에게 멸살법 이야기함 / 김컴 떠난 유중혁
3400123,13시간 전,📌 제4의 벽 구멍으로 계시 넘기는 유상아 / 동료들에게 멸살법 이야기 꺼낸 김독자
3400123,13시간 전,"💡흑염룡 반신강림💡우리엘 에덴 등지고 김독자컴퍼니 구함
[우리 희원이가 위험하단 말이야!]="
3400123,13시간 전,"📌 '신화를 삼킨 성화' 선악 판별 불가, 중립 / 신이 된 유상아"
3400123,13시간 전,하. 눙물나ㅜㅜ
3400123,13시간 전,"⚡️고작 명계? 집안 건드리기 있냐?또 <명계> 구경하고 싶은 놈 있어?
[몇번이고 살아나 봐, 또 죽여줄테니까]"
3400123,13시간 전,"📌 멸살법 알게 되고 배신감 느낀 유중혁 '저 녀석은, 우리 모두를 기만했다.' / 한수영 등장"
3400123,13시간 전,"💡오징어 김독자의 일곱번째 다리 조각💡그때는 정말 높아 보였는데…
너희들, 생각보다 낮은 곳에 걸려 있었구나."
3400123,14시간 전,📍유중혁 이 새끼야!📍이번 회차에는 배신하지 않는 동료가 있으니까
3400123,14시간 전,"📌 거대 설화 선악 판별 -> 유중혁 ""이 설화는 선이다."" / 김독자 ""이 설화는 악이다."""
3400123,14시간 전,"애초에 정희원이나 이지혜가 말하는거, 등장인물인데 왜 목숨걸고 살렸냐고 하능것도 말이안됨 왜? 이미 미래를 알고있어서 살방법이 있어서 그저 연출한것일지더 모름 왜? 김독자는 다 알고있으니까진실은 그게 아닐지라도 등장인물들은 알수가 없는거임 지금까지 자신들을 속여왔는데 자신들을 구한게 연출이 아닐거란 보장이 어딨어 애초애 등장인물이다 라는걸 알게된 시점부터 저들은 김독자가 자신들을 목숨걸고 구한 것 역시 연출일것이다. 라고 생각했어야함 근데 왜 그렇게 서술안됐냐? 그렇게 서술되면 이야기가 진행이 안되니까.. 그게 소설의 한계임 조금만 생각해봐도 목숨을 걸어서 구해줬으니 이해한다? 뭔소리야 미래를 아는 사람이그게 죽을위험인지 아닌지 왜 모르겠냐고 ㅋㅋ 그게 진실인지 아닌지 등장인물들은 모르고 그저 정말로 알 수 있는건 김독자가 자신들을 지금까지 속여왔다는거지
지금까지 이소설은 잘구성됐는데 왜 이런 헛점을 만든건지... 다른 소설이랑 다를바 없는듯"
3400123,14시간 전,📍한수영 염룡이 소환 주문📍숨겨왔던 기술 쓰는 중혁
3400123,14시간 전,"아니근데 생각할수록 등장인물들이 불쌍하네.. 지금부터 모든 일들 행동하나하나까지 등장인물들은 이제 아 내 자유의지가 아니라 이렇게 하도록 정해져있구나 소설속에 이미 이후이야기까지 나와있으니 내가하는 행동 전부가 내 자유의지가 아니구나. 독자가 하는말은 전부 미래를 보고 말하는거구나
저인물들은 이제부터 죽는 그순간까지 심지어 죽는 그때역시도 책속에 기록되어 있는 상황일뿐이라고 생각해야함 이게뭐 별건가 하는데
우리가 하는 행동 초등학교때 뭘하도 중학교때 뭘하도 사회에 나가서 뭘하고 뭘하고 우리가 스스로 생각하고 결정한게 알고보니 이미 다 정해진 운명이라면? 내가지금 먹는 음식조차 이미 정해져있고 내가 하는 선택들 모두가 정해져있다면? 죽는것조차 이미 정해져있다면? 그런삶을 살아가야하는거임
그저 니넨 등장인물이야!로 끝나는게 아니라 저들은 이제 자신들이 하는 모든 행동이 정해져있는 행동이라고 생각하고 살아가야하는거지"
3400123,14시간 전,"📌 베스트 케미상 ㅋㅋㅋ / 성운 <김독자 컴퍼니>의 거대 설화, 신화를 삼킨 성화 '대상'"
3400123,14시간 전,📌 선악의 이중주 연회 입장과 김컴 팬클럽
3400123,14시간 전,"📌 김독자 67위 / 선악의 이중주, 에덴 멸망 예고"
3400123,14시간 전,"📌 마왕 승격전 (""일단 72위"")"
3400123,14시간 전,📌제4의 벽에 구멍 남 (책 표지로 막는 중) / 서브 시나리오 - 서울 혁명
3400123,14시간 전,💡모든 시나리오의 영원과 종장을 위하여!💡하데스 “명계는 지금부터 너의 편이다.”
3400123,14시간 전,"소설 등장인물을 위해 악을 선택한게 아니라 자신을 위해 악을 선택한거임 김독자가 지하철에서 살릴 사람을 정한게 그사람들을 위한거임? 아님 자신이 생각하는 결말을 이루기 위해서 필여한 사람을 선별한거임 아스모데우스가 말한것처럼 차별이고 이는 곧 악인거임김독자가 행한 일들은 다수를 위한게 아니라 자신의 결말을 위한행동이었음 결말에 도움이 되는 사람들을 구해왔음 물론 그안에서는 선을위한 행동도 있었겠지만 크게본다면 결국 자기만의 결말을 위해 움직인거지 선을위해 움직인게 아님 전독시 읽는 독자로서 주인공에 감정이입하는건 바람직하지만 그렇다해서 사실을 왜곡해선 안되지 소설 등장인물을 위한게 아니라 자신을 위한거임
어떻게 저런 해석이 베댓인지 모르겠네 
전독시에서 김독자는 선이아님 지금까지 행보는 그저 결말을 위한 행보, 내 사람을 위한 행보가 아님 유중혁처럼 모든 세계를 위한 행보가 아니란거지 "
3400123,15시간 전,응애 나 아기 유승아 배고파
3400123,15시간 전,📍저는 명계의 정식 후계자가 되겠습니다
3400123,16시간 전,📍엄빠찬스 쓰는 김독자
3400123,16시간 전,쟤가 배후성이었냐 ㅋㅋㅋㅋ
3400123,16시간 전,??? : 와 갓의 ㄱㅅㄱㅅ
3400123,17시간 전,📌설화 손 안대고 코풀기
3400123,18시간 전,제4벽 두꺼워지는 거 맘아프네
3400123,19시간 전,아무리 그래도 그렇지지금까지도 혼자서는 시나리오에서 아무것도 못하던것이 독자는 그렇다치고 말살법 주인공조차 없는 타이밍에 엄청 어렵다고 경고까지 주는데 기다려도 되는걸 기어들어가는 판단을 하는게 말이되나? 죽을 수도 있는데 이유도 없이?
3400123,20시간 전,💡은밀한 모략가 정체 추리하는 유중혁 한수영
3400123,20시간 전,"📍천사들에게 다굴 당하는 독자, 김컴 진영선택"
3400123,21시간 전,멍. 청 이
3400123,21시간 전,유중혁미친
3400123,21시간 전,구원의 마왕
3400123,22시간 전,자다 일나서 다시 봐얒
3400123,22시간 전,아가레스 지옥 동부의 지배자 이름 줫간지나네
3400123,22시간 전,📌 유중혁에게 멸살법 아냐고 물어보는 아스모데우스
3400123,22시간 전,드뎌 긴고아가 나왔다 
3400123,22시간 전,📌 김독자 회사 생활 / 제4의 벽에 들어온 유상아
3400123,22시간 전,📌 삼켜. 단 한 문장도 빼놓지 말고. (제4의 벽에게 유상아 삼키라 하는 김독자)
3400123,23시간 전,독자가 참 부럽다 저런 멋진 사람들과 함께해서
3400123,23시간 전,나는 이딴 건 하지 않는다
3400123,23시간 전,펠세폰이랑 하데스 웃겨 ㅋㅋ
3400123,23시간 전,ㅋㅋㅋ 
3400123,1일 전,중혁아 행복해라
3400123,1일 전,이번화 스케일이 머릿속에서 조차 상상이 안가는군
3400123,1일 전,3회독까지 해야되나 ..  기억이 가물가물하다 벌써 ㅠ
3400123,1일 전,집안.건드리는건 선넘었다
3400123,1일 전,"📌「그가 읽지 못한 모든 이야기의 [에필로그]가 이 너머에 있었다.」
「고작  이 손잡이의 문을 돌리기 위해.」

「나는 오래도록 그 길을 바라보았다.」

에필로그의 문"
3400123,1일 전,재밌어 성마대전 올림포스 때 처럼 ㅎㅎ
3400123,1일 전,"📌인간성을 애써 찾아야 하는 존재를 아찌 평범한 인간이라고 말할 수 있을까.
「모든 이야기는 그가 소설을 읽은 순간 시작되었다.」
이 원망은 온전히 나의 몫이었다.
""왜, 아저씨가 울어...?"""
3400123,1일 전,이것마저 독자가 빼앗아가네...
3400123,1일 전,멋지다 아름답다
3400123,1일 전,"📌[성좌, '심연의 흑염룡'의 ■■는 '순수'입니다.]

[가거라, 막내야.]

[괜찮아.]
[너희는 이 이야기를 여기까지만 본 거야.]

[당신은 <스타 스트림>의 그 어떤 별도 이룩하지 못한 업적을 달성했습니다.]
[<스타 스트림>의 모든 별들은 영원토록 당신을 잊지 못할 것입니다.]

이 모든 이야기의 끝. '최후의 벽'이 눈 앞에 있었다."
3400123,1일 전,길영이가 유승이 좋아하나 보네 ㅋㅋㅋㅋ 졸귀
3400123,1일 전,비형이랑 결혼 ㅋㄱㅋㅋ
3400123,1일 전,다시 보니까 제4의 벽이 스마트폰 액정같고 맨 마지막에 있는 일러스트에 깨진 유리가 깨진 스마트폰 액정같다
3400123,1일 전,응애 데스아빠 펠세폰 엄마
3400123,1일 전,"📌[어떤 별빛도 그들을 비추지 않는 세계에서, 오직 <김독자 컴퍼니>의 일행들이 서로를 구해냈다.]

[우리엘, 그대가 이제 우리의 대선이다.]
[천사들이여, 최후의 '성마대전'을 시작하자.]"
3400123,1일 전,📌
3400123,1일 전,"독자가 검색한 키워드 예측해보는데 세계, 살아남는, 방법 일드ㅛ"
3400123,1일 전,"다들 자신과 반대의 상황?이 ■■가 되는듯... 김도게자는 독자라서 이야기의 결말을 보고 싶으면서 이야기가 끝나지 않았으면 하는 마음때문에 ■■이 종장이랑 영원 두개인거고 정희원은 구원을 받은 입장이라 반대로 구원, 한수영은 작가로서 이야기를 끝내야하지만 그 반대인 끝나지 않는 이야기...써놓고 뭔 개소린가 싶다"
3400123,1일 전,"📌 [가거라. 절대 뒤를 돌아보지 마라.네가 원하는 끝을 보거라.]
[네가 가는 결말에 우리 올림포스는 없겠지?]
[그동안 즐거웠다. 위대한 별이여]

등뒤로 하나의 세계가 닫히는 소리가 났다."
3400123,1일 전,수영이 정말 멋지다
3400123,1일 전,진짜 ㄹㅈㄷ..  책갈피
3400123,1일 전,멸망의심판자ㅠㅜ 선에게 배신당한 심판자라니ㅠㅠ
3400123,1일 전,"망설일 필요도 없는 일이었다왜냐하면 그들 또한, 그렇게 구해졌으니까"
3400123,1일 전,첫번째 재앙때 흑염룡ㅋㅋㅋㅋ
3400123,1일 전,"이현성 특성진화 강철화그 녀석이, 곧 검이니까"
3400123,1일 전,아 그럼 결국 각 지역별 시나리오는 46번까지만 다른거고 그 이후엔 다 동일한 하나의 시나리오인거네? 그럼 95번 시나리오는 모든 성운과 모든 화신들이 모인 시나리오인거네.. 
3400123,1일 전,"소형화+책갈피 5번, 키리오스 로드그라임의 전인화를 맞고 도주한 니르바나.김독자, 유중혁에게 도움을 요청하는 우리엘
유중혁에게 자신을 죽여달라는 김독자"
3400123,1일 전,책갈피 업데이트로 사용효율 20% 증가.
3400123,1일 전,그래서 염룡이 진명 뭔데....
3400123,1일 전,"시나리오 진행으로부터 해방시켜주겠다고 주장하는 구원교주와 단체.환생자. 니르바나 뫼비우스
김독자를 동료로 선언한 유중혁."
3400123,1일 전,결국 독자는 유중혁을 위한다는 소리를 해왔지만 그저 주인공이 되고싶은 독자였을 뿐이네 그게 유중혁을 위한일이다? 결과론적이지만 그게 주인공 역을 뺏은 일이 된거지 
3400123,1일 전,"📌 이수경 테마 수술 / ""세상엔 네가 모르는 것도 있어, 멍청아."""
3400123,1일 전,📌Ep.1 구원의 마왕
3400123,1일 전,상아 말하는거 너무 슬퍼. 이별 볼때마다 정말 울적해지네
3400123,1일 전,📌은퇴한 SSSSS급 손오공이 되었다
3400123,1일 전,포세이돈 제우스 제천대성 구원의 마왕 let’s go
3400123,1일 전,시나리오 진행으로부터 해방시켜주겠다고 주장하는 구원교주와 단체
3400123,1일 전,한수영은 매번 독자를 위해 ㅠㅠ 죽이고.. 일행들 떠맡음 당하고..
3400123,1일 전,📌성운 황제
3400123,1일 전,"손오공 기모으기999 김남운 끊어진 필름 이론
무대화
맞아, 이 세계선의 너를 죽인 건, 바로 나야."
3400123,1일 전,📌혹부리왕과의 계약
3400123,1일 전,"차원의 문에서 빈사 상태로 나타난 하차자, 정민섭시나리오 클리어 보상으로 A급스킬 소형화 획득한 김독자"
3400123,1일 전,"BTS, 봉준호, 손흥민, 제이팍 let’s go"
3400123,1일 전,중혁아  드디어 동료라고 인정해줬구나!!
3400123,1일 전,📌빛과 어둠의 감시자 
3400123,1일 전,📌버려진 세계선 이계의 신격
3400123,1일 전,📌김독자 컴퍼니는 마지막 시나리오로 진입할 수 없습니다
3400123,1일 전,내가 만든 쿠키 에 대항하는 남이 만든 만두
3400123,1일 전,코인이 곧 게연성이돠 할배멋져
3400123,1일 전,ㅇ김독자천재 작가님천재
3400123,1일 전,이런형태의 보상수령이란건 책갈피로 얻은건가?
3400123,1일 전,어쩐지 원래 이게 멸살법 회차가 아닌데 왜 멸살법이라고 하나 했더니 독자 착각이네
3400123,1일 전,BTS 손흥민 봉준호 제이팍 let’s go
3400123,1일 전,모르것내 ㄷㄷ 인기순위길래 한번 본건대 나는 솔직히 재미못느낌.. 그냥 구매한게 아까워서 계속 봤음 남들은 재밋다고 찬양 하는대 솔직하게 나는 재미없었음 ... 
3400123,1일 전,"📍성마대전 참가오랜만입니다, 우리엘"
3400123,1일 전,김독자는 살아있다 김독자는 살아있다
3400123,1일 전,📍유한킴 밀회 단톡방 개설🥳
3400123,1일 전,📍중립지대에서 만난 김컴과 척준경
